Description,Price,URL
"2021 Newst ASUS ROG STRIX GeForce RTX 3060 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6, HDMI 2.1, DP 1.4a, Axial-Tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II+AllyFlex HDMI","$1,999.97",https://www.amazon.com/ASUS-Graphics-Axial-Tech-2-9-Slot-AllyFlex/dp/B092KQ6LGF/ref=sr_1_148?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818836&sprefix=rtx+%2Caps%2C194&sr=8-148
"HP OMEN 30L Gaming Desktop PC, NVIDIA GeForce RTX 2080 Super Graphics Card, 10th Generation Intel Core i7-10700K Processor (up to 5.0 GHz), 16GB RAM, 512GB SSD + 2TB Hard Drive, Windows 10 Home","$2,799.99",https://www.amazon.com/OMEN-Graphics-Generation-i7-10700K-Processor/dp/B093CR568M/ref=sr_1_191?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818840&sprefix=rtx+%2Caps%2C194&sr=8-191
"Motherboard Aura Synchronization 5v 3pin Interface RGB Magic Light for RTX 3080 Graphics Card Bracket, GPU Holder SATA Power Interface RGB Magic Light for RTX 3090 (GEFORCE,5v 3pin Interface)",$26.99,https://www.amazon.com/Motherboard-Synchronization-Interface-Graphics-Bracket/dp/B08L54F6ZG/ref=sr_1_196?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818842&sprefix=rtx+%2Caps%2C194&sr=8-196
MSI Radeon RX 5500 XT Gaming X  Graphics Card 8GB 128-Bit GDDR6 PCI Express 4.0 DirectX 12 HDCP Ready Supremely Silent TORX Fan 3.0 1x HDMI 2.0b 3X DisplayPort 1.4 w/ Mytrix HDMI Cable,$847.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg14_1?ie=UTF8&adId=A01912931FK0MW4FXFOEQ&url=%2FGraphics-128-Bit-Express-Supremely-DisplayPort%2Fdp%2FB091RX3B4H%2Fref%3Dsr_1_209_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818844%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-209-spons%26psc%3D1%26smid%3DA1Z8HN9APE8NTZ&qualifier=1619818844&id=867866349920671&widgetName=sp_atf_next
"2021 Newest TUF Gaming GeForce RTX 3070 OC Edition Graphics Card- PCIe 4.0, 8GB GDDR6, HDMI 2.1 , DisplayPort 1.4a, Dual Ball Fan Bearings+AllyFlex HDMI Cable","$1,749.00",https://www.amazon.com/3070-Graphics-DisplayPort-Bearings-AllyFlex/dp/B0936RDKVJ/ref=sr_1_215?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818844&sprefix=rtx+%2Caps%2C194&sr=8-215
Yeston RX550 4G D5 LP Graphics Cards Radeon Chill 4GB Memory GDDR5 128Bit 6000MHz VGA + HDMI + DVI-D GPU,$249.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg14_1?ie=UTF8&adId=A07701371XCILO1MVZWCU&url=%2FYeston-Graphics-Radeon-Memory-6000MHz%2Fdp%2FB08YK7YMR9%2Fref%3Dsr_1_219_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818844%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-219-spons%26psc%3D1&qualifier=1619818844&id=867866349920671&widgetName=sp_mtf
"Vbestlife Gaming Graphics Card, for GeForce GTX 1050Ti 4G GDDR5 Game Graphics Card 128bit 1290/1392MHZ Double Cooling Fan",$269.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg15_1?ie=UTF8&adId=A0973171INB7E96WABT8&url=%2FVbestlife-Graphics-GeForce-1392MHZ-Cooling%2Fdp%2FB093344FZ7%2Fref%3Dsr_1_235_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818846%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-235-spons%26psc%3D1&qualifier=1619818846&id=5596786052558139&widgetName=sp_mtf
"Aluminum GPU Brace Support - Goldmille Video Card Sag Holder Bracket Adjustable, Provide Strong & Long-Lasting Support for Graphics Card",$11.99,https://www.amazon.com/Aluminum-GPU-Brace-Support-Long-Lasting/dp/B08P4FB7G4/ref=sr_1_241?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818846&sprefix=rtx+%2Caps%2C194&sr=8-241
SISTOUSEN GTX1050TI 4G Graphics Card DDR5 Computer Graphics Card HD PCI Express 2.0 Card Slot Discrete Graphics Card,$165.76,https://www.amazon.com/SISTOUSEN-GTX1050TI-Graphics-Computer-Discrete/dp/B091T5KDP4/ref=sr_1_244?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818846&sprefix=rtx+%2Caps%2C194&sr=8-244
"Graphics Card Support Bracket, GPU Brace Support Video Card Sag Holder/Holster, Single or Dual Slot Cards (Black)",$13.99,https://www.amazon.com/Graphics-Support-Bracket-Holder-Holster/dp/B08P989QF1/ref=sr_1_245?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818848&sprefix=rtx+%2Caps%2C194&sr=8-245
"upHere White Graphics Card GPU Brace Support Video Card Sag Holder/Holster Bracket, Anodized Aerospace Aluminum, Single or Dual Slot Cards-(GL04)",$9.99,https://www.amazon.com/upHere-Graphics-Anodized-Aerospace-Aluminum/dp/B08L5Z7FMY/ref=sr_1_275?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818851&sprefix=rtx+%2Caps%2C194&sr=8-275
"GLOTRENDS Graphics Card GPU Brace Support, Universal VGA Graphics Card Holder, Anodized Aerospace Aluminum，DIY Adjustable Single Slot Support for Computer Cases (Black)",$8.99,https://www.amazon.com/GLOTRENDS-Universal-Aerospace-Aluminum%EF%BC%8CDIY-Adjustable/dp/B08KVXY359/ref=sr_1_280?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818853&sprefix=rtx+%2Caps%2C194&sr=8-280
"2021 KO GeForce RTX 3070 OC Edition 8GB GDDR6 Gaming Graphics Card (PCIe 4.0, 8GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 0dB Technology) +AllyFlex HDMI Cable","$1,699.00",https://www.amazon.com/3070-Graphics-DisplayPort-Axial-tech-Technology/dp/B092V1BW4R/ref=sr_1_281?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818853&sprefix=rtx+%2Caps%2C194&sr=8-281
